Address,Link,Name,Phone,Review Text,Reviewers Name,Reviewers Score
"Ground Floor, Suyog Plaza, JM Road, Pune",https://www.zomato.com/pune/mcdonalds-jm-road/info,"""McDonald's""",'+912266000666',Sometimes the location of the any outlet is matter so much because you dont have that much option to hangout. The JM road McD is one of them. Although there are other options are available but still this place is always crowded. In addition to that it's 2 floor place so there is ample of space for sit. So you will definitely get place to sit. Apart from this I don't have to say anything abt food. Because it's already been benchmarked. So if you have problem to sit anywhere McD is there on JM road.,Omkar's Food Diaries,Rated 3.0
"Seasons Mall, Magarpatta City, Magarpatta, Pune",https://www.zomato.com/pune/mcdonalds-magarpatta/info,"""McDonald's""",'+912266000666',"What I clearly don't like about these outlets is them tricking customers into paying more or suggesting to them the items that cost more.The same thing happened at this outlet (And service was very very slow).I bought a meal and asked for Oreo Mcflurry (Costs 70Rs), There comes a suggestion ""Sir, why don't you try Strawberry Oreo Shake?""I said it shouldn't be overpriced, what does it cost? he has no answer and shyly said 225Rs.I am very sure, had I ordered the shake he wouldn't have suggested the item that costs less.Many people fall prey to their tricks and end up paying more for extras which doesn't add much to the taste.Stop fooling innocent people to increase your sales, better add better products and improve your service.",Girish Agrawal,Rated 2.0
"Unit 201, Kakade Center Port, CTS 2687B, Bhamburda, Shivaji Nagar, Pune",https://www.zomato.com/pune/mcdonalds-shivaji-nagar/info,"""McDonald's""",'+912266000666',"We ordered meal for 2,new potato veggies and mc egg ! As always food ws delicious except the e potato veggies which were ok !burger bun. Meal for 2 included mc veggie /chicken coke and icecream with choclate syrup as well! So we were satisfied enough .",Varun J,Rated 4.0
"G 7, Phoenix Market City, Nagar Road, Viman Nagar, Pune",https://www.zomato.com/pune/mcdonalds-viman-nagar/info,"""McDonald's""",'+912066000666',One cannot go wrong with the food when you step in here. My all time favorite is the Mac Maharaja burger and the wraps as well. Loving the cheesy fries too.,Abhilasha Adhikary,Rated 5.0
"Showroom 102 & 103, Bearing Survey 116, Mumbai Bangalore Highway, Warje, Pune",https://www.zomato.com/pune/mcdonalds-warje/info,"""McDonald's""",'+912266000666',"This place is really crowded and the service is unbelievably slow..i have no idea why.
I ordered mc aloo tikki- the burger was tasty but the sauce was barely there, would have liked some more...and potato wedges (regular)- I had to wait extra 10 mins for these after I got the burger. The wedges were piping hot and the bigger one's were soft and soggy. There was almost no masala on them.
I also had asked for aloo chatpata naan..but it was not available in this outlet.
1 star removed for slow service.",Puneri Chowhound,Rated 3.0
"Survey 32/2, Gurukrupa Hall, Ambegaon Budruk, Near Dmart, Dhankawadi, Pune",https://www.zomato.com/pune/mcdonalds-dhankawadi/info,"""McDonald's""",'+912266000666',Full menu never available. Marketing it as a drive thru takes away the feel of the place. Serving time is decent and food meets McDonald's standards.,Shubham Mahajan,Rated 3.0
"Loni Kalbhor, Pune-Solapur Road, Pune",https://www.zomato.com/pune/mcdonalds-pune-solapur-road/info,"""Mcdonald's""","'+919527013321', '+918668304270'","This mc’D is full of mc goodness. All the available food is there and one plus point :THEY SERVE AT THE TABLE

And the staff is really sweet and kind",Adityagrover03,Rated 5.0
"Ground Floor, Lonavala Square, Behind Kumar Resorts",https://www.zomato.com/pune/mcdonalds-lonavala/info,"""McDonald's""",'+912266000666',Its one of the best fast food outlet... i always prefer mcdonalds...its give good service and the price are reasonable... Ambience is fine ..,Sneha Surapalli,Rated 4.0
"Chanakya Nagri, Sinhgad Road, Pune",https://www.zomato.com/pune/mcdonalds-sinhgad-road/info,"""McDonald's""",'+912266000666',"One of my most and frequently visited place of mylist.
My fixed menu of here mcspicy chicken large combo.
One of the most spacious mcd in pune.
Staff is humble and helpful.
They also suggest you to make your orders done.
Overall a nice experience every time.
🍟🌯🍗🥤",Monica Sonar,Rated 4.0
"GA 18-19, Sacred World Mall, Jagtap Chowk, Wanowrie, Pune",https://www.zomato.com/pune/mcdonalds-wanowrie/info,"""McDonald's""",'+912266000666',"Located in 100 meters from Jagtap Chowk this place has good ambiance. Planned to take away. Ordered 5xMed Chicken Meal and 3xSiracha sauces. It was a pleasant experience at the counter, our parcel was ready in 15 minutes.
The packing was great.
The very disappointing part was when we reached our place and started having the order, it was found that the Siracha Sauce wasn't there.
That did reduce the spiciness of the experience.
Even though whatever we received was good.
Expected a much better service.",OTB,Rated 3.0
"Pune Central, Near Garware College, Erandwane, Pune",https://www.zomato.com/pune/mcdonalds-erandwane/info,"""McDonald's""",'+912266000666',"Maharaja Mac Is The Burger I Have Ordered And Nothing Is More To Tell About The MacDonald The Taste Is Good And Location Wise It Is Good Place To Eat Inn.
So Overall Good Experience To Eat And Sit Inn",Aditya Kulkarni,Rated 4.0
"Dorabjee Mall, Survey 25/5, NIBM Extension, Dorabjee Paradise, NIBM Road, Pune",https://www.zomato.com/pune/mcdonalds-nibm-road/info,"""McDonald's""",'+912266000666',"Good ambience 
Great service 
A very clean and tidy place 
Just love the McDonald’s fries 🍟 
The coke float is a match made in heaven 🤩
Their Mexican aloo tikki burger 🍔 is yum 😋 
Best place to enjoy a meal with friends and family 
Great for takeaways 
Overall good 👍🏻",Sara Mujawar,Rated 4.0
"Survey 127, Gopal House, Harshal Gardens, Karve Road, Kothrud, Pune",https://www.zomato.com/pune/mcdonalds-kothrud/info,"""McDonald's""",'+912266000666',One of my favorite spot to hangout with friends. It's really on the road outlet which is convenient to reach. It's quite a big outlet so you don't have to wait for the table. And I really no need to say about the food here.,Omkar's Food Diaries,Rated 3.0
"42 / 43, 3rd Floor, Kumar Pacific Mall, Shankar Seth Road, Swargate, Pune",https://www.zomato.com/pune/mcdonalds-swargate/info,"""McDonald's""",'+912266000666',Its always a pleasure to have french fries from McDonald.. i love their ambience.. i personally dnt like ketchup but when combine to french fries it gives some out of boundary taste... Love Mcd,Vini Singh,Rated 4.0
"Phoenix Market City, Nagar Road, Viman Nagar, Pune",https://www.zomato.com/pune/mcdonalds-1-viman-nagar/info,"""McDonald's""",'+912266000666',"#DikhaawaEATSOut #39 #McDonalds #PhoenixMarketCity #VimanNagar #Pune

Visiting A Mall And Not Eating At The McDonalds sounds a bore. So we tried to sound cliche. Also to try the discontinued Filet-O-Fish Burger At Chennai Outlets.

Dishes Ordered —
1) Filet-O-Fish Meal ~ This Filet-O-Fish Burger is heaven. The Fish Pattice is just on point and the Fries With Coke Only Complement. Pick Of The EATOut.
2) Veg McPuff ~ Nicely Made Puff with usual Paneer and veggies stuff.
3) McEgg ~ The Pattice is like double cooked Hakf Boil Egg. Another Decent Burger.
4) McAloo Tikki ~ Very Fresh and essence of Aloo Tikki is also there.

Ambience ~ Usual McDonalds Type Set Up.
Worth For The Price ~ Worth it for the quantity.
Location Accessiblity ~ Is Located On Lower Ground Of Mall.
Service ~ Self Service.
Hygiene ~ Yes,it’s hygiene.
Washroom ~ Washroom is Of mall.

Overall -
I just went for The Filet-O-Fish Because I Love That.",Iam AK(Anaikomagan),Rated 4.0
"Plot 5/2 /6, Bhusari Colony, Near Kothrud Bus Depot, Paud Road, Kothrud, Pune",https://www.zomato.com/pune/mcdonalds-1-kothrud/info,"""McDonald's""",'+912266000666',"Whenever I feel hungry, I always prefer McD .From Mc aloo tikki to Mc flurry everything has my 💓 heart. So recently they came up with new drink ""Cappuccino"" and I must it's really good and refreshing and a perfect 1 am reason to go to mcD 😍 .",Aanchal Chandola,Rated 5.0
"201, Kakade Center Port, Pune University Road, Pune University, Pune",https://www.zomato.com/pune/mcdonalds-pune-university/info,"""McDonald's""",'+912266000666',Names itself described everything so no talk about food but they should add something new to menu and now they should stop self-service overall good place,Ria Jain,Rated 4.0
"Unit SF 09, 2nd Floor, Dorabjee's Royal Heritage Mall, Mohammadwadi, Salunkhe Vihar Road, Pune",https://www.zomato.com/pune/mcdonalds-salunkhe-vihar-road/info,"""McDonald's""",'+912266000666',Ordered a mc spicy chicken burger. It was alright. The mayonnaise was not put generously in the burger. The price was reasonable. Good experience overall.,Shubhangi Jagdev,Rated 3.0
"Survey 33 /1 /1Poorva Shrushti, Building C, Ground Floor, Wadgoan Khurd, Near Lokmat Bhavan, Nanded City, Sinhgad Road, Pune",https://www.zomato.com/pune/mcdonalds-1-sinhgad-road/info,"""McDonald's""",'+912065366066',"I ordered online for today first time I ordered Chicken Mac Maharaja,American Cheese Supreme chicken with meal and large fries with piri piri. The burgers 🍔 were tasting awesome and MAC maharaja is surely the tallest burger, but was disappointed with the fries where they were very chill and soggy by the time I received the order though my house is just 15min away from ur store that was quite a disappointment. The American Cheese supreme was very taste and the cheese was dripping every bite we had. Finally the meals coke had too much off ice where it tasted like water than coke which was another disappointing. Overall had a good experience.",Sri Hari Varma B,Rated 3.0
"Urse Toll Naka, Near Bharat Petrol Pump, Mumbai-Pune Expressway, Talegaon Dabhade, Pune, Expressway, Pune",https://www.zomato.com/pune/mcdonalds-expressway/info,"""McDonald's""",'+912266000666',It is bang on the expressway. One amongst the many food joints In the food plaza. The decor is excellent! Highly maintained. Seemed popular with foreigners. staff efficient and did the burgers here tasted better than anywhere else!,Sumedh Joshi,Rated 5.0
"East Block, Amanora Town Centre, Hadapsar Kharadi Bypass, Hadapsar, Pune",https://www.zomato.com/pune/mcdonalds-hadapsar/info,"""McDonald's""",'+912266000666',"McDonald’s is anyways an evergreen option to have food. 
It is the McCafe that has surprised me. I always preferred CCD, but honestly after having Latte here, I have had a change of heart and this has become a stop over for me, whether it be for coffee or a quick bite.

Also, the ambience of this McD is superb, which adds to the overall experience.",Shishir Gupta,Rated 4.0
"Ground Floor, BPCL Petrol Pump, Shivapur, Pune",https://www.zomato.com/pune/mcdonalds-shivapur/info,"""McDonald's""",'+912266000666',"I love mcdonalds burgers and specially their newly intoduced item chatpata naan...we were travelling to mumbai last week, so made a quick stop at this place..I had chatpata naan aloo, my friends had chicken burger and mcveggie burger..outlet is small but clean and service is fast...liked the taste..",Coolhot20081,Rated 3.5
"Mega Mart, Survey 365, Dapodi, Pimple Gurav, Pune",https://www.zomato.com/pune/mcdonalds-pimple-gurav/info,"""McDonald's""",'+912266000666',"Air condition doesn't work! And even it wasn't working the last time i came here ! Maybe 4 months before!
Ordered mcflurry oreo which comes in Vanilla flavour!but they gave it in strawberry flavour!?,😾😾 Who can do such a thing when they are out of. Stock!
Never going to visit again! disappointed!
French fries were veey salty!
Ambience is good !
Big place!
They dont serve coffee in mug! But. In paper cup! And give. Only two sugar sachets!
Toilets are very dirty!",NEIL OSWIN👩‍🍳,Rated 1.0
